game_id,scheduled_time,team_id,team_name,player_id,player_name,pts,fgm,fga,3pm,3pa,ftm,fta,oreb,dreb,ast,tov,stl,blk,pf
20190926-2015-burritos-dropbears,2019-09-26 20:15:00,burritos,Burritos,burritos-alex,Alex Connor,3,1,8,0,3,1,2,1,4,2,0,2,0,1
20190926-2015-burritos-dropbears,2019-09-26 20:15:00,burritos,Burritos,burritos-suzi,Suzi,3,1,3,1,2,0,0,0,1,1,1,0,0,0
20190926-2015-burritos-dropbears,2019-09-26 20:15:00,burritos,Burritos,burritos-tom,Tom,2,1,4,0,3,0,0,0,5,4,2,3,0,1
20190926-2015-burritos-dropbears,2019-09-26 20:15:00,burritos,Burritos,burritos-allen,Allen,0,0,4,0,1,0,0,1,2,3,0,2,0,1
20190926-2015-burritos-dropbears,2019-09-26 20:15:00,burritos,Burritos,burritos-armelle,Armelle,0,0,3,0,0,0,0,2,1,1,0,0,0,0
20190926-2015-burritos-dropbears,2019-09-26 20:15:00,dropbears,Dropbears,dropbears-ray,Ray,15,6,12,1,3,2,2,1,3,0,0,4,0,2
20190926-2015-burritos-dropbears,2019-09-26 20:15:00,dropbears,Dropbears,dropbears-martin,Martin,8,3,8,0,0,2,2,1,6,1,2,1,1,3
20190926-2015-burritos-dropbears,2019-09-26 20:15:00,dropbears,Dropbears,dropbears-mary,Mary,6,2,11,2,5,0,0,0,2,2,2,0,0,0
20190926-2015-burritos-dropbears,2019-09-26 20:15:00,dropbears,Dropbears,dropbears-p2,P2,6,3,7,0,0,0,0,2,9,2,4,0,0,0
20190926-2015-burritos-dropbears,2019-09-26 20:15:00,dropbears,Dropbears,dropbears-ed,Ed,0,0,4,0,2,0,0,0,2,3,1,0,0,3
20190926-2015-burritos-dropbears,2019-09-26 20:15:00,dropbears,Dropbears,dropbears-hayley,Hayley,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20190926-2015-burritos-dropbears,2019-09-26 20:15:00,dropbears,Dropbears,lions-mychelle,Mychelle,0,0,5,0,2,0,0,0,0,1,0,0,0,0
20190926-2100-lostangels-lions,2019-09-26 21:00:00,lions,Lions,lions-mychelle,Mychelle,8,3,10,2,3,0,0,2,1,2,1,0,0,0
20190926-2100-lostangels-lions,2019-09-26 21:00:00,lions,Lions,lions-kata,Kata,6,3,13,0,0,0,0,2,3,2,4,3,0,1
20190926-2100-lostangels-lions,2019-09-26 21:00:00,lions,Lions,lions-foley,Foley,5,1,8,0,1,3,5,0,6,1,0,2,0,0
20190926-2100-lostangels-lions,2019-09-26 21:00:00,lions,Lions,lions-gus,Gus,4,2,7,0,0,0,0,3,9,0,1,0,1,3
20190926-2100-lostangels-lions,2019-09-26 21:00:00,lions,Lions,lions-diego,Diego,2,1,5,0,0,0,2,1,1,1,4,3,0,1
20190926-2100-lostangels-lions,2019-09-26 21:00:00,lions,Lions,camdenhells-lauren,Lauren,0,0,1,0,0,0,0,0,0,0,1,0,0,0
20190926-2100-lostangels-lions,2019-09-26 21:00:00,lions,Lions,lions-telle,Telle,0,0,4,0,0,0,0,0,1,0,3,0,0,2
20190926-2100-lostangels-lions,2019-09-26 21:00:00,lostangels,Lost Angels,saturdays-claire,Claire,18,7,18,0,1,4,5,0,1,0,2,1,0,0
20190926-2100-lostangels-lions,2019-09-26 21:00:00,lostangels,Lost Angels,lostangels-carlos,Carlos,16,8,12,0,0,0,2,2,6,0,1,2,0,2
20190926-2100-lostangels-lions,2019-09-26 21:00:00,lostangels,Lost Angels,lostangels-rob,Rob,8,4,10,0,0,0,2,2,4,2,3,1,1,0
20190926-2100-lostangels-lions,2019-09-26 21:00:00,lostangels,Lost Angels,lostangels-rolands,Rolands,8,4,6,0,0,0,1,5,3,4,0,2,3,0
20190926-2100-lostangels-lions,2019-09-26 21:00:00,lostangels,Lost Angels,lostangels-daria,Daria,6,1,5,1,3,3,3,0,1,2,1,2,0,0
20190926-2100-lostangels-lions,2019-09-26 21:00:00,lostangels,Lost Angels,lostangels-jazeps,Jazeps,4,2,8,0,0,0,2,4,6,3,3,2,0,1
20190926-2100-lostangels-lions,2019-09-26 21:00:00,lostangels,Lost Angels,lostangels-aldis,Aldis,0,0,2,0,1,0,0,1,7,4,2,0,0,2
