game_id,side_id,team_id,opponent_id,fgm,fga,tpm,tpa,ftm,fta,pts,oreb,dreb,reb,ast,stl,tov,blk,pf,player_id,enthusiasm_rating,pir
20190808-2100-lions-lostangels,1,lostangels,lions,8,11,0,0,4,4,20,2,7,9,0,0,2,0,0,lostangels-rob,26,24
20190808-2100-lions-lostangels,1,lostangels,lions,1,6,0,0,2,2,4,5,2,7,1,0,3,1,0,lostangels-rolands,20,5
20190808-2100-lions-lostangels,1,lostangels,lions,0,5,0,0,0,0,0,2,4,6,1,2,1,0,2,lostangels-sophie,17,1
20190815-1930-lions-burritos,1,burritos,lions,10,17,1,5,4,6,25,2,3,5,2,3,2,0,0,burritos-alex,35,24
20190815-1930-lions-burritos,1,burritos,lions,4,13,3,8,1,2,12,4,4,8,2,2,0,0,0,burritos-allen,27,14
20190815-1930-lions-burritos,1,burritos,lions,0,2,0,0,0,0,0,2,1,3,0,0,0,0,0,burritos-armelle,5,1
20190815-1930-lions-burritos,1,burritos,lions,0,8,0,5,0,0,0,1,8,9,3,0,1,1,0,burritos-stuart,22,4
20190815-1930-lions-burritos,1,burritos,lions,5,15,0,3,1,4,11,0,3,3,1,2,3,0,0,dropbears-mary,28,1
20190815-1930-lions-burritos,1,burritos,lions,1,2,0,0,0,0,2,1,5,6,0,0,0,0,0,lostangels-rolands,8,7
20190815-2015-lostangels-rockets,0,lostangels,rockets,1,7,1,4,0,0,3,0,4,4,2,1,0,0,0,lostangels-aldis,14,4
20190815-2015-lostangels-rockets,0,lostangels,rockets,5,9,0,0,0,0,10,2,2,4,3,2,2,0,1,lostangels-carlotta,21,12
20190815-2015-lostangels-rockets,0,lostangels,rockets,1,5,1,4,0,0,3,1,1,2,4,2,1,0,0,lostangels-daria,14,6
20190815-2015-lostangels-rockets,0,lostangels,rockets,6,14,1,1,0,2,13,1,4,5,3,4,3,2,2,lostangels-jazeps,35,12
20190815-2015-lostangels-rockets,0,lostangels,rockets,1,3,0,0,0,0,2,2,1,3,1,0,1,0,2,lostangels-john,10,1
20190815-2015-lostangels-rockets,0,lostangels,rockets,5,7,0,0,1,2,11,0,4,4,1,3,4,1,3,lostangels-rob,25,10
20190815-2015-lostangels-rockets,0,lostangels,rockets,2,6,0,0,0,0,4,2,7,9,3,1,1,1,9,lostangels-rolands,30,4
20190822-1845-lions-dropbears,0,lions,dropbears,2,3,0,0,0,0,4,1,1,2,2,1,3,0,0,kissmygrass-steph,11,5
20190822-1845-lions-dropbears,0,lions,dropbears,1,3,0,0,0,0,2,3,2,5,0,1,5,0,1,lions-alfie,15,0
20190822-1845-lions-dropbears,0,lions,dropbears,4,10,0,2,0,0,8,2,2,4,4,2,5,0,1,lions-diego,26,6
20190822-1845-lions-dropbears,0,lions,dropbears,2,8,0,1,2,4,6,4,10,14,0,0,1,0,2,lions-gus,29,9
20190822-1845-lions-dropbears,0,lions,dropbears,5,17,0,1,1,1,11,0,2,2,2,2,3,1,2,lions-kata,30,1
20190822-1845-lions-dropbears,0,lions,dropbears,2,8,0,0,5,7,9,5,5,10,2,3,5,0,1,lions-saulius,36,10
20190822-1845-lions-dropbears,1,dropbears,lions,1,5,0,1,0,0,2,1,2,3,0,0,0,0,3,dropbears-andrew,11,-2
20190822-1845-lions-dropbears,1,dropbears,lions,3,7,2,5,2,4,10,1,3,4,2,2,2,0,1,dropbears-ed,22,9
20190822-1845-lions-dropbears,1,dropbears,lions,6,19,2,8,2,2,16,3,0,3,2,1,3,0,0,dropbears-mary,30,6
20190822-1845-lions-dropbears,1,dropbears,lions,2,3,1,1,3,4,8,1,4,5,3,5,3,0,1,dropbears-ray,24,15
20190822-1845-lions-dropbears,1,dropbears,lions,4,7,0,0,0,2,8,2,3,5,0,4,3,1,1,rockets-paul,23,9
20190822-1845-lions-dropbears,1,dropbears,lions,1,9,0,0,0,0,2,2,3,5,2,2,2,2,2,timekeeper-naomi,24,1
20190822-2015-lostangels-camdenhells,0,lostangels,camdenhells,0,9,0,5,2,2,2,1,5,6,5,2,1,0,1,lostangels-aldis,26,4
20190822-2015-lostangels-camdenhells,0,lostangels,camdenhells,2,13,0,0,0,0,4,0,1,1,1,5,0,0,0,lostangels-carlotta,20,0
20190822-2015-lostangels-camdenhells,0,lostangels,camdenhells,2,5,1,2,0,0,5,0,0,0,0,0,1,0,0,lostangels-daria,6,1
20190822-2015-lostangels-camdenhells,0,lostangels,camdenhells,5,13,0,2,0,0,10,4,1,5,1,3,5,1,0,lostangels-jazeps,28,7
20190822-2015-lostangels-camdenhells,0,lostangels,camdenhells,10,15,0,0,4,4,22,2,13,15,1,3,1,0,0,lostangels-rob,39,35
20190822-2015-lostangels-camdenhells,0,lostangels,camdenhells,2,4,0,0,0,0,4,7,9,16,4,0,2,5,2,lostangels-rolands,33,23
20190822-2015-lostangels-camdenhells,0,lostangels,camdenhells,2,5,0,1,1,1,5,1,2,3,2,2,0,0,0,lostangels-sophie,13,9
20190822-2100-rockets-burritos,0,rockets,burritos,0,2,0,1,0,0,0,1,0,1,0,0,1,0,3,rockets-alex,7,-5
20190822-2100-rockets-burritos,0,rockets,burritos,1,1,0,0,0,0,2,0,1,1,0,0,0,0,0,rockets-anna,2,3
20190822-2100-rockets-burritos,0,rockets,burritos,0,8,0,2,1,2,1,2,5,7,2,4,7,0,1,rockets-janis,31,-3
20190822-2100-rockets-burritos,0,rockets,burritos,1,2,0,0,1,2,3,1,2,3,0,0,1,0,1,rockets-malachi,9,2
