player_id,team_id,num_games,pts,avg_pts,fgm,fga,fg%,avg_fgm,avg_fga,3pm,3pa,3p%,avg_3pm,avg_3pa,2pm,2pa,2p%,avg_2pm,avg_2pa,ftm,fta,ft%,avg_ftm,avg_fta,oreb,dreb,reb,avg_oreb,avg_dreb,avg_reb,ast,avg_ast,stl,avg_stl,tov,avg_tov,blk,avg_blk,pf,avg_pf,pir,avg_pir
camdenhells-sean,camdenhells,2,12,6.0,6,13,0.461538461538462,3.0,6.5,0,1,0.0,0.0,0.5,6,12,0.5,3.0,6.0,0,1,0.0,0.0,0.5,1,4,5,0.5,2.0,2.5,3,1.5,6,3.0,6,3.0,0,0.0,0,0.0,12,6.0
dropbears-andrew,dropbears,1,2,2.0,1,5,0.2,1.0,5.0,0,1,0.0,0.0,1.0,1,4,0.25,1.0,4.0,0,0,,0.0,0.0,1,2,3,1.0,2.0,3.0,0,0.0,0,0.0,0,0.0,0,0.0,3,3.0,-2,-2.0
dropbears-ed,dropbears,3,15,5.0,5,16,0.3125,1.66666666666667,5.33333333333333,2,7,0.285714285714286,0.666666666666667,2.33333333333333,3,9,0.333333333333333,1.0,3.0,3,6,0.5,1.0,2.0,1,7,8,0.333333333333333,2.33333333333333,2.66666666666667,5,1.66666666666667,4,1.33333333333333,5,1.66666666666667,0,0.0,4,1.33333333333333,9,3.0
dropbears-hayley,dropbears,2,0,0.0,0,1,0.0,0.0,0.5,0,0,,0.0,0.0,0,1,0.0,0.0,0.5,0,0,,0.0,0.0,0,1,1,0.0,0.5,0.5,0,0.0,0,0.0,2,1.0,0,0.0,0,0.0,-2,-1.0
dropbears-jordan,dropbears,1,0,0.0,0,3,0.0,0.0,3.0,0,0,,0.0,0.0,0,3,0.0,0.0,3.0,0,0,,0.0,0.0,0,3,3,0.0,3.0,3.0,0,0.0,0,0.0,4,4.0,0,0.0,1,1.0,-5,-5.0
dropbears-martin,dropbears,2,19,9.5,8,16,0.5,4.0,8.0,1,1,1.0,0.5,0.5,7,15,0.466666666666667,3.5,7.5,2,2,1.0,1.0,1.0,4,13,17,2.0,6.5,8.5,1,0.5,2,1.0,5,2.5,1,0.5,8,4.0,19,9.5
dropbears-mary,bbcballers,1,22,22.0,8,22,0.363636363636364,8.0,22.0,6,11,0.545454545454545,6.0,11.0,2,11,0.181818181818182,2.0,11.0,0,0,,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,1,1.0,1,1.0,0,0.0,0,0.0,8,8.0
dropbears-mary,burritos,2,18,9.0,8,25,0.32,4.0,12.5,1,7,0.142857142857143,0.5,3.5,7,18,0.388888888888889,3.5,9.0,1,4,0.25,0.5,2.0,1,3,4,0.5,1.5,2.0,3,1.5,3,1.5,3,1.5,0,0.0,0,0.0,5,2.5
dropbears-mary,dropbears,3,22,7.33333333333333,8,43,0.186046511627907,2.66666666666667,14.3333333333333,4,18,0.222222222222222,1.33333333333333,6.0,4,25,0.16,1.33333333333333,8.33333333333333,2,2,1.0,0.666666666666667,0.666666666666667,4,2,6,1.33333333333333,0.666666666666667,2.0,4,1.33333333333333,2,0.666666666666667,11,3.66666666666667,0,0.0,0,0.0,-12,-4.0
dropbears-p2,dropbears,1,6,6.0,3,7,0.428571428571429,3.0,7.0,0,0,,0.0,0.0,3,7,0.428571428571429,3.0,7.0,0,0,,0.0,0.0,2,9,11,2.0,9.0,11.0,2,2.0,0,0.0,4,4.0,0,0.0,0,0.0,11,11.0
dropbears-ray,dropbears,3,32,10.6666666666667,10,20,0.5,3.33333333333333,6.66666666666667,2,5,0.4,0.666666666666667,1.66666666666667,8,15,0.533333333333333,2.66666666666667,5.0,10,13,0.769230769230769,3.33333333333333,4.33333333333333,4,15,19,1.33333333333333,5.0,6.33333333333333,4,1.33333333333333,13,4.33333333333333,5,1.66666666666667,1,0.333333333333333,5,1.66666666666667,46,15.3333333333333
greenmachine-ahmed,burritos,1,9,9.0,4,7,0.571428571428571,4.0,7.0,1,1,1.0,1.0,1.0,3,6,0.5,3.0,6.0,0,0,,0.0,0.0,1,4,5,1.0,4.0,5.0,1,1.0,1,1.0,0,0.0,0,0.0,1,1.0,12,12.0
greenmachine-ahmed,greenmachine,2,10,5.0,3,24,0.125,1.5,12.0,2,12,0.166666666666667,1.0,6.0,1,12,0.0833333333333333,0.5,6.0,2,3,0.666666666666667,1.0,1.5,5,10,15,2.5,5.0,7.5,8,4.0,4,2.0,6,3.0,0,0.0,3,1.5,6,3.0
greenmachine-alex,greenmachine,4,35,8.75,15,45,0.333333333333333,3.75,11.25,0,0,,0.0,0.0,15,45,0.333333333333333,3.75,11.25,5,16,0.3125,1.25,4.0,6,37,43,1.5,9.25,10.75,3,0.75,10,2.5,12,3.0,4,1.0,13,3.25,29,7.25
