season_id,game_id,side_id,team_id,opp_team_id,fgm,fga,threeptm,threepta,ftm,fta,pts,oreb,dreb,reb,ast,stl,tov,blk,fc,twoptm,twopta,opp_twoptm,opp_twopta,fd,blka,opp_fd,opp_fc,opp_blk,opp_blka,outcome,opp_fgm,opp_fga,opp_threeptm,opp_threepta,opp_ftm,opp_fta,opp_pts,opp_oreb,opp_dreb,opp_reb,opp_ast,opp_stl,opp_tov,pir,opp_pir,num_players,opp_num_players
24,20190919-2015-lostangels-dropbears,1,dropbears,lostangels,15,44,6,13,6,9,42,4,10,14,4,6,6,2,7,9,31,13,34,8,5,7,8,5,2,w,14,45,1,11,4,8,33,8,24,32,8,3,15,23,23,,8
24,20190919-2100-lions-greenmachine,0,lions,greenmachine,16,50,2,10,6,12,40,7,25,32,8,10,12,2,7,14,40,13,42,11,2,7,11,2,2,w,14,51,1,9,3,7,32,8,25,33,9,8,14,33,18,5,6
24,20190919-2100-lions-greenmachine,1,greenmachine,lions,14,51,1,9,3,7,32,8,25,33,9,8,14,2,11,13,42,14,40,7,2,11,7,2,2,d,16,50,2,10,6,12,40,7,25,32,8,10,12,18,33,6,5
24,20190926-1845-rockets-greenmachine,0,rockets,greenmachine,20,47,1,3,4,8,45,9,20,29,12,25,16,3,15,19,44,2,24,6,1,15,6,1,3,w,2,26,0,2,2,11,6,3,16,19,1,10,32,52,-34,7,7
24,20190926-1845-rockets-greenmachine,1,greenmachine,rockets,2,26,0,2,2,11,6,3,16,19,1,10,32,1,6,2,24,19,44,15,3,6,15,3,1,d,20,47,1,3,4,8,45,9,20,29,12,25,16,-34,52,7,7
24,20190926-1930-camdenhells-bbcballers,0,camdenhells,bbcballers,22,59,1,5,2,7,47,16,34,50,10,8,12,7,8,21,54,8,46,5,1,8,5,1,7,w,10,58,2,12,2,6,24,11,21,32,2,4,11,60,-5,6,6
24,20190926-1930-camdenhells-bbcballers,1,bbcballers,camdenhells,10,58,2,12,2,6,24,11,21,32,2,4,11,1,5,8,46,21,54,8,7,5,8,7,1,d,22,59,1,5,2,7,47,16,34,50,10,8,12,-5,60,6,6
24,20190926-2015-burritos-dropbears,0,burritos,dropbears,19,56,3,16,7,13,48,11,26,37,11,8,6,0,6,16,40,11,36,8,1,6,8,1,0,w,14,48,3,12,4,4,35,4,23,27,9,5,9,49,26,8,7
24,20190926-2015-burritos-dropbears,1,dropbears,burritos,14,48,3,12,4,4,35,4,23,27,9,5,9,1,8,11,36,16,40,6,0,8,6,0,1,d,19,56,3,16,7,13,48,11,26,37,11,8,6,26,49,7,8
24,20190926-2100-lostangels-lions,0,lostangels,lions,26,61,1,5,7,15,60,14,28,42,15,10,12,4,5,25,56,8,44,7,1,5,7,1,4,w,10,48,2,4,3,7,25,8,21,29,6,8,14,71,6,7,7
24,20190926-2100-lostangels-lions,1,lions,lostangels,10,48,2,4,3,7,25,8,21,29,6,8,14,1,7,8,44,25,56,5,4,7,5,4,1,d,26,61,1,5,7,15,60,14,28,42,15,10,12,6,71,7,7
