game_id,side_id,player_id
20190919-1845-burritos-bbcballers,1,bbcballers-lisa
20190919-1845-burritos-bbcballers,1,bbcballers-nathan
20190919-2100-lions-greenmachine,0,lions-chris
20190919-2100-lions-greenmachine,0,lions-telle
20190919-2100-lions-greenmachine,0,rockets-darnell
20190919-2100-lions-greenmachine,0,lions-kata
20191003-1845-burritos-rockets,0,burritos-alex
20191003-1845-burritos-rockets,0,burritos-allen
20191003-1845-burritos-rockets,1,rockets-darnell
20191003-1845-burritos-rockets,0,burritos-sylwia
20191003-1845-burritos-rockets,1,rockets-anna
20191003-1845-burritos-rockets,1,rockets-alex
20191003-1845-burritos-rockets,1,rockets-janis
20191003-1845-burritos-rockets,1,rockets-marc
20191003-1845-burritos-rockets,0,burritos-armelle
20191003-1845-burritos-rockets,1,rockets-patricia
20191003-1845-burritos-rockets,1,rockets-malachi
20191003-1845-burritos-rockets,1,rockets-paul
20191003-1845-burritos-rockets,0,burritos-wouter
20191003-1845-burritos-rockets,0,burritos-stuart
20191003-1930-lostangels-dropbears,0,lostangels-aldis
20191003-1930-lostangels-dropbears,1,dropbears-hayley
20191003-1930-lostangels-dropbears,1,dropbears-ray
20191003-1930-lostangels-dropbears,0,lostangels-carlos
20191003-1930-lostangels-dropbears,1,dropbears-martin
20191003-1930-lostangels-dropbears,0,lostangels-carlotta
20191003-1930-lostangels-dropbears,1,dropbears-mary
20191003-1930-lostangels-dropbears,1,dropbears-ed
20191003-1930-lostangels-dropbears,1,dropbears-p2
20190919-2015-lostangels-dropbears,0,lostangels-aldis
20190919-2015-lostangels-dropbears,1,dropbears-ed
20190919-2015-lostangels-dropbears,0,lostangels-john
20190919-2015-lostangels-dropbears,1,dropbears-ray
20190919-2015-lostangels-dropbears,1,dropbears-p2
20190919-2015-lostangels-dropbears,1,dropbears-martin
20190919-2015-lostangels-dropbears,0,lostangels-rob
20190919-2015-lostangels-dropbears,0,lostangels-jazeps
20190919-2015-lostangels-dropbears,0,lostangels-daria
20190919-2015-lostangels-dropbears,0,lostangels-carlos
20190919-2015-lostangels-dropbears,1,dropbears-mary
20190919-2015-lostangels-dropbears,0,lostangels-sophie
20190919-2015-lostangels-dropbears,1,dropbears-hayley
20190919-2015-lostangels-dropbears,0,lostangels-rolands
20190919-2015-lostangels-dropbears,0,lostangels-carlotta
20190919-1845-burritos-bbcballers,0,burritos-suzi
20191003-2100-lions-bbcballers,0,lions-chris
20191003-2100-lions-bbcballers,0,lions-diego
20191003-2100-lions-bbcballers,0,lions-foley
20191003-2100-lions-bbcballers,0,lions-gus
20191003-2100-lions-bbcballers,1,bbcballers-lisa
20191003-2100-lions-bbcballers,0,lions-kata
20191003-2100-lions-bbcballers,0,lions-mychelle
20191003-2100-lions-bbcballers,0,lions-saulius
20191003-2100-lions-bbcballers,0,lions-obi
20191003-2100-lions-bbcballers,1,bbcballers-saulius
20191003-2100-lions-bbcballers,1,bbcballers-alexandra
20191003-2100-lions-bbcballers,1,bbcballers-suhail
20191003-2100-lions-bbcballers,1,bbcballers-arthur
20191003-2100-lions-bbcballers,1,bbcballers-james
20191003-2100-lions-bbcballers,0,lions-telle
20191003-2100-lions-bbcballers,1,bbcballers-nathan
20191003-2015-camdenhells-greenmachine,0,camdenhells-amy
20191003-2015-camdenhells-greenmachine,0,camdenhells-davidgalindo
20191003-2015-camdenhells-greenmachine,0,camdenhells-lauren
20191003-2015-camdenhells-greenmachine,0,camdenhells-levent
20191003-2015-camdenhells-greenmachine,1,greenmachine-andris
20191003-2015-camdenhells-greenmachine,0,lostangels-sophie
20191003-2015-camdenhells-greenmachine,0,rockets-anna
20191003-2015-camdenhells-greenmachine,1,greenmachine-kelli
20191003-2015-camdenhells-greenmachine,1,greenmachine-marina
20191003-2015-camdenhells-greenmachine,1,greenmachine-alex
20191003-2015-camdenhells-greenmachine,1,greenmachine-alison
20191003-2015-camdenhells-greenmachine,1,greenmachine-sergio
