game_id,team_id,side_id,opp_team_id,possession_id,first_event_id,first_event_type,first_player_id,first_on_court_player_id,cause_type,resolution_type,resolution_is_turnover,last_player_id,points_scored,opp_points_scored_next,second_chance_pts,is_after_turnover,dribbles,passes,passes_incl_inbounds,players_involved,players_involved_incl_inbounders,oreb,true_fga,true_threepta,fta,p1,p2,p3,p4,p5,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5
20191031-1930-greenmachine-burritos,burritos,1,greenmachine,92,8479ab20-f7d5-4bfc-9e4a-cc89e085aaa7,ThrowIn,burritos-alex,burritos-tom,TwoPointShotMade,TwoPointShotMade,0,burritos-wouter,2,0,0,0,1,1,2,2,3,0,1,0,0,dropbears-mary,burritos-sylwia,burritos-wouter,burritos-tom,burritos-alex,saturdays-jo,greenmachine-basel,greenmachine-alex,greenmachine-ahmed,greenmachine-victoria
20191031-1930-greenmachine-burritos,greenmachine,0,burritos,93,a2b28c7b-55a0-4761-9810-6f6e5d49f91a,ThrowIn,greenmachine-alex,greenmachine-ahmed,TwoPointShotMade,TwoPointShotMissed,0,greenmachine-victoria,0,0,0,0,2,2,3,3,4,0,1,0,0,saturdays-jo,greenmachine-basel,greenmachine-alex,greenmachine-ahmed,greenmachine-victoria,dropbears-mary,burritos-sylwia,burritos-wouter,burritos-tom,burritos-alex
20191031-1930-greenmachine-burritos,burritos,1,greenmachine,94,37b8c601-3bfd-4ffb-b060-1eb5fdb2b24c,PlayerControl,burritos-alex,burritos-alex,TwoPointShotMissed,TwoPointShotMissed,0,dropbears-mary,0,3,0,0,1,2,2,3,3,0,1,0,0,dropbears-mary,burritos-sylwia,burritos-wouter,burritos-tom,burritos-alex,saturdays-jo,greenmachine-basel,greenmachine-alex,greenmachine-ahmed,greenmachine-victoria
20191031-1930-greenmachine-burritos,greenmachine,0,burritos,95,e0c91183-f607-4a72-88c8-2e62be2f024c,PlayerControl,greenmachine-alex,greenmachine-alex,TwoPointShotMissed,FreeThrowMade,0,greenmachine-alex,3,0,3,0,2,1,1,2,2,1,2,0,3,saturdays-jo,greenmachine-basel,greenmachine-alex,greenmachine-ahmed,greenmachine-victoria,dropbears-mary,burritos-sylwia,burritos-wouter,burritos-tom,burritos-alex
20191031-1930-greenmachine-burritos,burritos,1,greenmachine,96,cc4e09ce-fcc7-49d0-b29a-49787becca04,ThrowIn,burritos-alex,burritos-wouter,FreeThrowMade,TwoPointShotMissed,0,burritos-alex,0,0,0,0,2,3,4,4,4,0,1,0,0,burritos-sylwia,burritos-wouter,burritos-tom,burritos-alex,burritos-suzi,saturdays-jo,greenmachine-basel,greenmachine-alex,greenmachine-ahmed,greenmachine-victoria
20191031-1930-greenmachine-burritos,greenmachine,0,burritos,97,1abbc007-139f-42d6-aef0-7741cdade1bc,PlayerControl,greenmachine-alex,greenmachine-alex,TwoPointShotMissed,TwoPointShotMissed,0,greenmachine-basel,0,2,0,0,1,2,2,3,3,0,1,0,0,saturdays-jo,greenmachine-basel,greenmachine-alex,greenmachine-ahmed,greenmachine-victoria,burritos-sylwia,burritos-wouter,burritos-tom,burritos-alex,burritos-suzi
20191031-1930-greenmachine-burritos,burritos,1,greenmachine,98,796cd1d0-34e1-4648-b13f-a4be5816e589,PlayerControl,burritos-alex,burritos-alex,TwoPointShotMissed,TwoPointShotMade,0,burritos-wouter,2,0,0,0,1,2,2,3,3,0,1,0,0,burritos-sylwia,burritos-alex,burritos-suzi,burritos-stuart,burritos-wouter,saturdays-jo,greenmachine-basel,greenmachine-alex,greenmachine-ahmed,greenmachine-victoria
20191031-1930-greenmachine-burritos,greenmachine,0,burritos,99,b2ad9af3-d474-4e98-93e6-187ec454dd02,ThrowIn,greenmachine-jayd,greenmachine-ahmed,TwoPointShotMade,TwoPointShotMissed,0,greenmachine-victoria,0,1,0,0,2,2,3,3,4,0,1,0,0,saturdays-jo,greenmachine-ahmed,greenmachine-victoria,greenmachine-jayd,greenmachine-basel,burritos-sylwia,burritos-alex,burritos-suzi,burritos-stuart,burritos-wouter
20191031-1930-greenmachine-burritos,burritos,1,greenmachine,100,903da7ec-088f-4b8a-a666-59c90a90028b,PlayerControl,burritos-stuart,burritos-stuart,TwoPointShotMissed,BadPass,1,burritos-alex,1,2,0,0,1,2,2,3,3,1,1,0,2,burritos-sylwia,burritos-alex,burritos-suzi,burritos-stuart,burritos-wouter,saturdays-jo,greenmachine-ahmed,greenmachine-victoria,greenmachine-jayd,greenmachine-basel
20191031-1930-greenmachine-burritos,greenmachine,0,burritos,101,5454f91f-804b-4501-92a9-8c2927b9daaf,Steal,greenmachine-jayd,greenmachine-jayd,BadPass,TwoPointShotMade,0,saturdays-jo,2,3,2,1,2,5,5,5,5,1,2,1,0,saturdays-jo,greenmachine-ahmed,greenmachine-victoria,greenmachine-jayd,greenmachine-basel,burritos-sylwia,burritos-alex,burritos-suzi,burritos-stuart,burritos-wouter
20191031-1930-greenmachine-burritos,burritos,1,greenmachine,102,c9c323c9-0546-4c21-b984-655fad8ed6fd,ThrowIn,burritos-alex,burritos-stuart,TwoPointShotMade,ThreePointShotMade,0,dropbears-mary,3,3,0,0,4,4,5,4,4,0,1,1,0,burritos-alex,burritos-suzi,burritos-stuart,burritos-wouter,dropbears-mary,saturdays-jo,greenmachine-ahmed,greenmachine-victoria,greenmachine-jayd,greenmachine-basel
20191031-1930-greenmachine-burritos,greenmachine,0,burritos,103,18b0ba99-0276-4512-a35a-65e2998cd1a7,ThrowIn,greenmachine-jayd,greenmachine-ahmed,ThreePointShotMade,ThreePointShotMade,0,greenmachine-ahmed,3,0,0,0,1,2,3,2,3,0,1,1,0,saturdays-jo,greenmachine-ahmed,greenmachine-victoria,greenmachine-jayd,greenmachine-basel,burritos-alex,burritos-suzi,burritos-stuart,burritos-wouter,dropbears-mary
20191031-1930-greenmachine-burritos,burritos,1,greenmachine,104,7b250c59-a4ad-4a35-bf5e-2eea61ee4043,ThrowIn,burritos-alex,burritos-wouter,ThreePointShotMade,BadPass,1,burritos-wouter,0,3,0,0,1,0,1,1,2,0,0,0,0,burritos-alex,burritos-suzi,burritos-stuart,burritos-wouter,dropbears-mary,saturdays-jo,greenmachine-ahmed,greenmachine-victoria,greenmachine-jayd,greenmachine-basel
20191031-1930-greenmachine-burritos,greenmachine,0,burritos,105,478df798-9d7a-4225-b6dc-9f4767fcfac4,ThrowIn,saturdays-jo,greenmachine-ahmed,BadPass,ThreePointShotMade,0,greenmachine-ahmed,3,1,0,1,2,2,3,2,3,0,1,1,0,saturdays-jo,greenmachine-ahmed,greenmachine-victoria,greenmachine-jayd,greenmachine-basel,burritos-alex,burritos-suzi,burritos-stuart,burritos-wouter,dropbears-mary
20191031-1930-greenmachine-burritos,burritos,1,greenmachine,106,2311bc82-4b06-4b8c-8793-697c0313efc7,ThrowIn,burritos-wouter,burritos-alex,ThreePointShotMade,FreeThrowMissed,0,burritos-stuart,1,0,1,0,2,1,3,3,4,2,3,1,2,burritos-alex,burritos-suzi,burritos-stuart,burritos-wouter,dropbears-mary,saturdays-jo,greenmachine-ahmed,greenmachine-victoria,greenmachine-jayd,greenmachine-basel
20191031-1930-greenmachine-burritos,greenmachine,0,burritos,107,f9aee6f6-a09c-43d3-a5de-c4a15048a89c,PlayerControl,saturdays-jo,saturdays-jo,FreeThrowMissed,ThreePointShotMissed,0,saturdays-jo,0,2,0,0,2,5,5,4,4,0,1,1,0,saturdays-jo,greenmachine-ahmed,greenmachine-victoria,greenmachine-jayd,greenmachine-basel,burritos-alex,burritos-suzi,burritos-stuart,burritos-wouter,dropbears-mary
20191031-1930-greenmachine-burritos,burritos,1,greenmachine,108,f65b8900-9fb9-4d04-bd0d-8591d519496c,PlayerControl,burritos-stuart,burritos-stuart,ThreePointShotMissed,TwoPointShotMade,0,burritos-alex,2,3,2,0,4,5,5,4,4,2,3,1,0,burritos-alex,burritos-suzi,burritos-stuart,burritos-wouter,dropbears-mary,saturdays-jo,greenmachine-ahmed,greenmachine-victoria,greenmachine-jayd,greenmachine-basel
20191031-1930-greenmachine-burritos,greenmachine,0,burritos,109,aa26fa43-9401-4fd2-9851-2be4927fc032,ThrowIn,saturdays-jo,greenmachine-jayd,TwoPointShotMade,ThreePointShotMade,0,greenmachine-ahmed,3,2,0,0,2,3,4,2,3,0,1,1,0,saturdays-jo,greenmachine-ahmed,greenmachine-victoria,greenmachine-jayd,greenmachine-basel,burritos-alex,burritos-suzi,burritos-stuart,burritos-wouter,dropbears-mary
20191031-1930-greenmachine-burritos,burritos,1,greenmachine,110,4f261eeb-0e1b-439d-9cee-40f32ce405c1,ThrowIn,burritos-wouter,burritos-alex,ThreePointShotMade,TwoPointShotMade,0,burritos-alex,2,0,0,0,2,6,7,4,4,0,1,0,0,burritos-alex,burritos-suzi,burritos-stuart,burritos-wouter,dropbears-mary,saturdays-jo,greenmachine-ahmed,greenmachine-victoria,greenmachine-jayd,greenmachine-basel
20191031-1930-greenmachine-burritos,greenmachine,0,burritos,111,03f6a6c6-fd72-4700-b908-a6ad797edcef,ThrowIn,greenmachine-ahmed,greenmachine-basel,TwoPointShotMade,OutOfBounds_Turnover,1,greenmachine-ahmed,0,0,0,0,1,1,2,2,3,1,1,1,0,saturdays-jo,greenmachine-ahmed,greenmachine-victoria,greenmachine-jayd,greenmachine-basel,burritos-alex,burritos-suzi,burritos-stuart,burritos-wouter,dropbears-mary
20191031-1930-greenmachine-burritos,burritos,1,greenmachine,112,8f22d295-8b5a-499e-a959-4e797f8ca9c8,ThrowIn,burritos-stuart,burritos-tom,OutOfBounds_Turnover,DefensiveRebound,0,burritos-sylwia,0,0,0,1,1,2,3,3,4,0,1,0,0,burritos-stuart,burritos-wouter,dropbears-mary,burritos-tom,burritos-sylwia,saturdays-jo,greenmachine-ahmed,greenmachine-victoria,greenmachine-jayd,greenmachine-basel
20191031-1930-greenmachine-burritos,greenmachine,0,burritos,113,9a916939-3928-4c53-870d-4d7267391ad9,ThrowIn,greenmachine-jayd,greenmachine-basel,DefensiveRebound,ThreePointShotMissed,0,greenmachine-jayd,0,2,0,0,4,4,6,3,4,0,1,1,0,saturdays-jo,greenmachine-ahmed,greenmachine-victoria,greenmachine-jayd,greenmachine-basel,burritos-stuart,burritos-wouter,dropbears-mary,burritos-tom,burritos-sylwia
20191031-1930-greenmachine-burritos,burritos,1,greenmachine,114,d366b4ae-9623-4d2e-b719-beb42132c072,PlayerControl,burritos-tom,burritos-tom,ThreePointShotMissed,TwoPointShotMade,0,burritos-suzi,2,0,0,0,2,1,1,2,2,0,1,0,0,burritos-stuart,burritos-wouter,burritos-tom,burritos-sylwia,burritos-suzi,saturdays-jo,greenmachine-ahmed,greenmachine-victoria,greenmachine-jayd,greenmachine-basel
20191031-1930-greenmachine-burritos,greenmachine,0,burritos,115,c0ef971f-3e61-4997-8f43-8010f3c5618f,ThrowIn,greenmachine-basel,greenmachine-alison,TwoPointShotMade,ThreePointShotMissed,0,greenmachine-ahmed,0,0,0,0,3,2,3,3,3,0,1,1,0,saturdays-jo,greenmachine-ahmed,greenmachine-jayd,greenmachine-basel,greenmachine-alison,burritos-stuart,burritos-wouter,burritos-tom,burritos-sylwia,burritos-suzi
20191031-1930-greenmachine-burritos,burritos,1,greenmachine,116,e721bc90-69a8-45fd-a887-6753b17dd3fb,PlayerControl,burritos-sylwia,burritos-sylwia,ThreePointShotMissed,TwoPointShotMissed,0,burritos-sylwia,0,0,0,0,1,2,2,2,2,0,1,0,0,burritos-stuart,burritos-wouter,burritos-tom,burritos-sylwia,burritos-suzi,saturdays-jo,greenmachine-ahmed,greenmachine-jayd,greenmachine-basel,greenmachine-alison
20191031-1930-greenmachine-burritos,greenmachine,0,burritos,117,b3e9207d-dbe2-483b-b25e-5becf24059e5,PlayerControl,greenmachine-ahmed,greenmachine-ahmed,TwoPointShotMissed,TwoPointShotMissed,0,greenmachine-alison,0,0,0,0,3,5,5,3,3,0,1,0,0,saturdays-jo,greenmachine-ahmed,greenmachine-jayd,greenmachine-basel,greenmachine-alison,burritos-stuart,burritos-wouter,burritos-tom,burritos-sylwia,burritos-suzi
