game_id,team_id,player_id,side_id,opp_team_id,game_version,pts,fgm,fga,fgperc,twoptm,twopta,twoptperc,threeptm,threepta,threeptperc,ftm,fta,ftperc,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,sfc,nsfc,fd,sfd,nsfd,pir,plus_minus_pts,seconds_played,plus_minus_reb,plus_minus_ast,plus_minus_stl,plus_minus_tov,plus_minus_fc,outcome
20191024-1845-lions-lostangels,lions,lions-diego,0,lostangels,5300,6,3,7,42.9,3,7,42.9,0,0,0,0,0,0,3,5,8,4,1,4,0,0,1,1,0,1,0,1,17,-26,1928,-21,-8,4,-4,2,d
20191024-1845-lions-lostangels,lions,lions-foley,0,lostangels,5300,7,3,12,25.0,2,6,33.3,1,6,16.7,0,0,0,1,4,5,1,5,1,0,0,1,1,0,0,0,0,-1,-23,1458,-18,-5,-1,-2,4,d
20191024-1845-lions-lostangels,lions,lions-telle,0,lostangels,5300,1,0,4,0,0,4,0,0,0,0,1,2,50.0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,-2,-27,1431,-19,-7,-2,0,4,d
20191024-1845-lions-lostangels,lions,lions-kata,0,lostangels,5300,6,3,12,25.0,3,10,30.0,0,2,0,0,2,0,2,1,3,1,0,1,0,2,1,0,1,1,1,0,-2,-16,1308,-12,-7,3,-3,-3,d
20191024-1845-lions-lostangels,lions,greenmachine-andris,0,lostangels,5300,0,0,6,0,0,6,0,0,0,0,0,0,0,1,2,3,0,3,0,0,0,1,0,1,0,0,0,-7,-19,1226,-8,-5,0,2,1,d
20191024-1845-lions-lostangels,lions,lions-rashid,0,lostangels,5300,2,1,9,11.1,1,3,33.3,0,6,0,0,0,0,0,4,4,2,1,1,0,0,0,0,0,0,0,0,0,-16,1508,-16,-6,6,-5,-1,d
20191024-1845-lions-lostangels,lions,lions-mychelle,0,lostangels,5300,11,4,12,33.3,1,4,25.0,3,8,37.5,0,2,0,2,1,3,1,0,2,0,0,2,1,1,1,1,0,6,-13,1340,-11,-2,5,-3,3,d
20191024-1845-lions-lostangels,lostangels,kissmygrass-steph,1,lions,5300,2,1,5,20.0,1,4,25.0,0,1,0,0,0,0,3,4,7,1,2,1,1,0,1,1,0,1,0,1,6,28,2040,21,8,-3,3,-2,w
20191024-1845-lions-lostangels,lostangels,lostangels-carlos,1,lions,5300,17,8,12,66.7,8,12,66.7,0,0,0,1,3,33.3,2,11,13,2,2,0,1,0,1,1,0,2,2,0,26,28,2040,21,8,-3,3,-2,w
20191024-1845-lions-lostangels,lostangels,lostangels-rob,1,lions,5300,22,11,19,57.9,11,18,61.1,0,1,0,0,0,0,2,19,21,2,6,0,0,0,0,0,0,1,0,1,32,28,2040,21,8,-3,3,-2,w
20191024-1845-lions-lostangels,lostangels,lostangels-daria,1,lions,5300,10,4,8,50.0,4,6,66.7,0,2,0,2,2,100.0,0,1,1,3,0,1,0,0,0,0,0,2,1,1,13,28,2040,21,8,-3,3,-2,w
20191024-1845-lions-lostangels,lostangels,lostangels-jazeps,1,lions,5300,10,5,15,33.3,5,12,41.7,0,3,0,0,0,0,1,5,6,9,3,4,0,0,2,1,1,1,0,1,15,28,2040,21,8,-3,3,-2,w
20191024-1930-greenmachine-northlondonlions,greenmachine,greenmachine-ahmed,0,northlondonlions,5300,8,3,8,37.5,1,2,50.0,2,6,33.3,0,0,0,0,7,7,4,3,1,0,0,2,1,1,0,0,0,10,-15,1407,-6,0,-2,3,3,d
20191024-1930-greenmachine-northlondonlions,greenmachine,greenmachine-alex,0,northlondonlions,5300,13,5,11,45.5,5,11,45.5,0,0,0,3,6,50.0,3,7,10,2,3,0,0,0,2,1,1,4,3,1,15,-14,1656,0,3,-5,5,-2,d
20191024-1930-greenmachine-northlondonlions,greenmachine,greenmachine-alison,0,northlondonlions,5300,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-1,-11,1117,3,0,-5,8,-1,d
