season_id,game_id,game_version,side_id,team_id,num_players,opp_team_id,opp_num_players,outcome,pts,fgm,fga,fgperc,efgperc,twoptm,twopta,twoptperc,threeptm,threepta,threeptperc,ftm,fta,ftperc,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,sfc,nsfc,fd,sfd,nsfd,pir,opp_pts,opp_fgm,opp_fga,opp_fgperc,opp_efgperc,opp_twoptm,opp_twopta,opp_twoptperc,opp_threeptm,opp_threepta,opp_threeptperc,opp_ftm,opp_fta,opp_ftperc,opp_oreb,opp_dreb,opp_reb,opp_ast,opp_tov,opp_stl,opp_blk,opp_blka,opp_fc,opp_sfc,opp_nsfc,opp_fd,opp_sfd,opp_nsfd,opp_pir,poss,opp_poss,passes,opp_passes,dribbles,opp_dribbles,second_chance_pts,opp_second_chance_pts,pts_off_tov,opp_pts_off_tov,true_fga,opp_true_fga,true_threepta,opp_true_threepta,players_involved,opp_players_involved,poss_with_tfga,opp_poss_with_tfga,avg_passes,avg_passes_with_tfga,avg_players_involved,avg_players_involved_with_tfga,opp_avg_passes,opp_avg_passes_tfga,opp_avg_players_involved,opp_avg_players_involved_with_tfga,avg_pts_with_1p,avg_pts_with_2p,avg_pts_with_3p,avg_pts_with_4p,avg_pts_with_5p
25,20191107-1845-lions-camdenhells,5100,1,camdenhells,10,lions,6,w,34,13,51,25.5,25.5,13,48,27.1,0,3,0,8,20,40.0,16,30,46,11,15,9,1,1,5,2,3,13,11,2,43,31,13,45,28.9,33.3,9,26,34.6,4,19,21.1,1,3,33.3,4,26,30,9,16,11,1,1,13,11,2,5,2,3,23,60,59,191,132,112,107,9,3,12,10,61,46,4,19,197,156,46,43,3.183333333333333,3.5217391304347827,3.283333333333333,3.5217391304347827,2.23728813559322,2.5348837209302326,2.6440677966101696,2.7906976744186047,0.6666666666666666,0.7096774193548387,0.8,0.7777777777777778,0.8888888888888888
25,20191107-1930-hotshots-greenmachine,5100,0,hotshots,7,greenmachine,8,w,35,15,44,34.1,34.1,15,38,39.5,0,6,0,5,6,83.3,12,27,39,8,21,7,6,1,14,9,5,6,3,3,35,34,13,47,27.7,28.7,12,39,30.8,1,8,12.5,7,20,35.0,13,18,31,13,14,13,1,6,6,3,3,14,9,5,33,57,57,91,108,95,92,9,8,8,23,47,55,6,9,130,149,37,42,1.5964912280701755,1.5945945945945945,2.280701754385965,2.2972972972972974,1.894736842105263,2.1666666666666665,2.6140350877192984,2.857142857142857,1.0384615384615385,1.0869565217391304,1.25,1.0,2.0
25,20191107-1930-hotshots-greenmachine,5100,1,greenmachine,8,hotshots,7,d,34,13,47,27.7,28.7,12,39,30.8,1,8,12.5,7,20,35.0,13,18,31,13,14,13,1,6,6,3,3,14,9,5,33,35,15,44,34.1,34.1,15,38,39.5,0,6,0,5,6,83.3,12,27,39,8,21,7,6,1,14,9,5,6,3,3,35,57,57,108,91,92,95,8,9,23,8,55,47,9,6,149,130,42,37,1.894736842105263,2.1666666666666665,2.6140350877192984,2.857142857142857,1.5964912280701755,1.5945945945945945,2.280701754385965,2.2972972972972974,0.4583333333333333,0.43478260869565216,0.5294117647058824,0.4,0.0
25,20191107-2015-northlondonlions-rockets,5100,0,northlondonlions,7,rockets,7,d,33,12,45,26.7,27.8,11,34,32.4,1,11,9.1,8,23,34.8,20,26,46,5,15,7,4,2,19,9,10,19,9,10,30,39,14,42,33.3,34.5,13,36,36.1,1,6,16.7,10,21,47.6,11,20,31,6,11,11,2,4,19,9,10,19,9,10,35,50,50,58,98,82,99,12,4,3,13,53,48,11,6,109,129,36,39,1.16,1.2777777777777777,2.18,2.3333333333333335,1.96,2.051282051282051,2.58,2.58974358974359,0.9666666666666667,1.0,0.8888888888888888,0.8,0.0
25,20191107-2015-northlondonlions-rockets,5100,1,rockets,7,northlondonlions,7,w,39,14,42,33.3,34.5,13,36,36.1,1,6,16.7,10,21,47.6,11,20,31,6,11,11,2,4,19,9,10,19,9,10,35,33,12,45,26.7,27.8,11,34,32.4,1,11,9.1,8,23,34.8,20,26,46,5,15,7,4,2,19,9,10,19,9,10,30,50,50,98,58,99,82,4,12,13,3,48,53,6,11,129,109,39,36,1.96,2.051282051282051,2.58,2.58974358974359,1.16,1.2777777777777777,2.18,2.3333333333333335,0.9629629629629629,0.9545454545454546,1.2857142857142858,1.5,1.0
25,20191107-2100-lostangels-burritos,5100,0,lostangels,7,burritos,7,d,36,15,44,34.1,39.8,10,31,32.3,5,13,38.5,1,2,50.0,10,31,41,10,27,7,3,1,15,7,8,4,1,3,28,40,13,52,25.0,26.9,11,36,30.6,2,16,12.5,12,16,75.0,9,20,29,4,11,21,1,3,4,1,3,14,7,7,48,63,62,228,148,110,123,2,6,12,16,45,58,13,16,205,169,37,51,3.619047619047619,4.081081081081081,3.253968253968254,3.4864864864864864,2.3870967741935485,2.4901960784313726,2.725806451612903,2.764705882352941,0.8275862068965517,0.8275862068965517,0.8461538461538461,0.6923076923076923,0.0
25,20191107-2100-lostangels-burritos,5100,1,burritos,7,lostangels,7,w,40,13,52,25.0,26.9,11,36,30.6,2,16,12.5,12,16,75.0,9,20,29,4,11,21,1,3,4,1,3,14,7,7,48,36,15,44,34.1,39.8,10,31,32.3,5,13,38.5,1,2,50.0,10,31,41,10,27,7,3,1,15,7,8,4,1,3,28,62,63,148,228,123,110,6,2,16,12,58,45,16,13,169,205,51,37,2.3870967741935485,2.4901960784313726,2.725806451612903,2.764705882352941,3.619047619047619,4.081081081081081,3.253968253968254,3.4864864864864864,0.8571428571428571,0.8461538461538461,0.7333333333333333,1.0,nan
25,20191114-1845-lostangels-greenmachine,5200,0,lostangels,6,greenmachine,8,w,60,27,57,47.4,50.0,24,49,49.0,3,8,37.5,3,4,75.0,9,33,42,21,14,17,9,1,3,1,2,2,2,0,102,17,8,52,15.4,16.3,7,42,16.7,1,10,10.0,0,2,0,12,22,34,5,24,13,1,9,2,2,0,3,1,2,-8,66,65,206,165,79,124,2,2,30,4,59,53,8,10,202,178,51,41,3.121212121212121,3.588235294117647,3.0606060606060606,3.3333333333333335,2.5384615384615383,3.292682926829268,2.7384615384615385,3.1707317073170733,0.9090909090909091,0.875,0.84,0.8421052631578947,0.625
25,20191114-1845-lostangels-greenmachine,5200,1,greenmachine,8,lostangels,6,d,17,8,52,15.4,16.3,7,42,16.7,1,10,10.0,0,2,0,12,22,34,5,24,13,1,9,2,2,0,3,1,2,-8,60,27,57,47.4,50.0,24,49,49.0,3,8,37.5,3,4,75.0,9,33,42,21,14,17,9,1,3,1,2,2,2,0,102,65,66,165,206,124,79,2,2,4,30,53,59,10,8,178,202,41,51,2.5384615384615383,3.292682926829268,2.7384615384615385,3.1707317073170733,3.121212121212121,3.588235294117647,3.0606060606060606,3.3333333333333335,0.41935483870967744,0.41935483870967744,0.3333333333333333,0.0,0.0
25,20191114-1930-hotshots-lions,5200,0,hotshots,7,lions,6,w,61,27,55,49.1,50.0,26,51,51.0,1,4,25.0,6,18,33.3,14,45,59,14,15,5,6,0,5,5,0,16,9,7,101,28,13,62,21.0,21.8,12,54,22.2,1,8,12.5,1,10,10.0,9,20,29,7,7,7,0,6,16,9,7,5,5,0,-11,66,66,85,111,97,105,16,5,6,5,64,67,4,8,139,166,51,58,1.2878787878787878,1.4901960784313726,2.106060606060606,2.2745098039215685,1.6818181818181819,1.8103448275862069,2.515151515151515,2.6206896551724137,1.2222222222222223,1.2285714285714286,1.411764705882353,1.7142857142857142,1.0
