game_id,side_id,team_id,opponent_id,fgm,fga,tpm,tpa,ftm,fta,pts,oreb,dreb,reb,ast,stl,tov,blk,pf,player_id
20190905-2015-burritos-greenmachine,1,greenmachine,burritos,0,0,0,0,0,0,0,1,1,2,0,1,0,0,1,greenmachine-kelli
20190905-2015-burritos-greenmachine,1,greenmachine,burritos,0,3,0,0,0,0,0,0,0,0,1,1,1,0,2,greenmachine-marina
20190905-2015-burritos-greenmachine,1,greenmachine,burritos,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,greenmachine-victoria
20190919-1845-burritos-bbcballers,0,burritos,bbcballers,3,10,1,3,0,0,7,8,4,12,4,5,2,0,1,burritos-allen
20190919-1845-burritos-bbcballers,0,burritos,bbcballers,2,6,0,1,0,0,4,1,0,1,2,1,0,0,1,burritos-armelle
20190919-1845-burritos-bbcballers,0,burritos,bbcballers,5,7,1,1,0,2,11,1,0,1,3,1,2,0,0,burritos-suzi
20190919-1845-burritos-bbcballers,0,burritos,bbcballers,5,15,0,0,0,0,10,2,1,3,3,1,0,0,0,burritos-sylwia
20190919-1845-burritos-bbcballers,0,burritos,bbcballers,3,8,3,8,0,0,9,1,9,10,7,4,3,2,0,burritos-tom
20190919-1845-burritos-bbcballers,0,burritos,bbcballers,13,22,0,1,3,4,29,5,8,13,2,1,1,1,3,burritos-wouter
20190919-1845-burritos-bbcballers,1,bbcballers,burritos,4,14,2,7,2,4,12,0,1,1,1,2,2,0,1,bbcballers-arthur
20190919-1845-burritos-bbcballers,1,bbcballers,burritos,2,13,0,0,0,0,4,4,6,10,1,0,4,0,0,bbcballers-james
20190919-1845-burritos-bbcballers,1,bbcballers,burritos,3,11,0,0,0,0,6,2,0,2,1,1,0,0,0,bbcballers-lisa
20190919-1845-burritos-bbcballers,1,bbcballers,burritos,1,2,1,1,0,0,3,2,2,4,0,0,4,0,1,bbcballers-nathan
20190919-1845-burritos-bbcballers,1,bbcballers,burritos,4,7,0,0,0,0,8,1,2,3,1,1,2,0,2,bbcballers-saulius
20190919-1845-burritos-bbcballers,1,bbcballers,burritos,0,2,0,1,0,0,0,2,4,6,0,0,4,0,0,bbcballers-suhail
20190919-2100-lions-greemachine,0,lions,greenmachine,1,6,0,0,1,2,3,2,7,9,1,2,2,0,1,lions-chris
