game_id,team_id,side_id,possession_id,first_event_id,first_event_type,first_player_id,first_on_court_player_id,cause_type,resolution_type,resolution_is_turnover,last_player_id,points_scored,opp_points_scored_next,second_chance_points,is_after_turnover,passes,players_involved,oreb,true_fga,true_3pa,fta,p1,p2,p3,p4,p5,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5
20191031-1845-hotshots-camdenhells,hotshots,0,25,dfac01e0-aa06-4fb1-93b7-9900f1a47b4a,ThrowIn,hotshots-weronika,hotshots-harrison,TwoPointShotMade,TwoPointShotMissed,False,hotshots-harrison,0,0,0,False,1,1,0,1,0,0,hotshots-sharad,dropbears-mary,hotshots-martin,hotshots-harrison,hotshots-weronika,camdenhells-jess,rockets-anna,greenmachine-ahmed,lions-alfie,rockets-malachi
20191031-1845-hotshots-camdenhells,camdenhells,1,26,3ed1bb96-f166-46ed-a5aa-c55950977b7c,PlayerControl,greenmachine-ahmed,greenmachine-ahmed,TwoPointShotMissed,LostBall,True,rockets-malachi,0,0,0,False,2,3,0,0,0,0,camdenhells-jess,rockets-anna,greenmachine-ahmed,lions-alfie,rockets-malachi,hotshots-sharad,dropbears-mary,hotshots-martin,hotshots-harrison,hotshots-weronika
20191031-1845-hotshots-camdenhells,hotshots,0,27,fa71f195-2f40-4a73-9e8c-e7536866ee07,Steal,hotshots-harrison,hotshots-harrison,LostBall,LostBall,True,hotshots-sharad,0,0,0,True,1,2,0,0,0,0,hotshots-sharad,dropbears-mary,hotshots-martin,hotshots-harrison,hotshots-weronika,camdenhells-jess,rockets-anna,greenmachine-ahmed,lions-alfie,rockets-malachi
20191031-1845-hotshots-camdenhells,camdenhells,1,28,4aa5dc71-7b61-4e17-91d1-9db98d211c9b,Steal,lions-alfie,lions-alfie,LostBall,TwoPointShotMissed,False,lions-alfie,0,0,0,True,10,5,2,3,1,0,greenmachine-ahmed,lions-alfie,rockets-malachi,lostangels-sophie,camdenhells-jess,hotshots-sharad,dropbears-mary,hotshots-martin,hotshots-harrison,hotshots-weronika
20191031-1845-hotshots-camdenhells,hotshots,0,29,86a1c5a1-3b86-4d17-98f1-3cf4f872ea85,PlayerControl,hotshots-martin,hotshots-martin,TwoPointShotMissed,TwoPointShotMissed,False,hotshots-martin,0,2,0,False,2,2,0,1,0,0,hotshots-sharad,dropbears-mary,hotshots-martin,hotshots-harrison,hotshots-weronika,greenmachine-ahmed,lions-alfie,rockets-malachi,lostangels-sophie,camdenhells-jess
20191031-1845-hotshots-camdenhells,camdenhells,1,30,f8e653cd-aa41-4531-b006-7dbb3b3d3499,PlayerControl,rockets-malachi,rockets-malachi,TwoPointShotMissed,TwoPointShotMade,False,lions-alfie,2,0,0,False,4,4,0,1,0,0,greenmachine-ahmed,lions-alfie,rockets-malachi,lostangels-sophie,camdenhells-jess,hotshots-sharad,dropbears-mary,hotshots-martin,hotshots-harrison,hotshots-weronika
20191031-1845-hotshots-camdenhells,hotshots,0,31,da51cbc3-bd2a-41e9-be82-635c59e2c078,ThrowIn,hotshots-sharad,hotshots-harrison,TwoPointShotMade,Travel,True,dropbears-mary,0,0,0,False,3,3,0,0,0,0,hotshots-sharad,dropbears-mary,hotshots-martin,hotshots-harrison,hotshots-weronika,lions-alfie,lostangels-sophie,camdenhells-jess,lostangels-rob,camdenhells-davidgalindo
20191031-1845-hotshots-camdenhells,camdenhells,1,32,5a7dc8f5-f677-400b-8302-a9ab2237b2a2,ThrowIn,lostangels-sophie,camdenhells-davidgalindo,Travel,TwoPointShotMissed,False,lostangels-rob,0,2,0,True,2,2,0,1,0,0,lions-alfie,lostangels-sophie,camdenhells-jess,lostangels-rob,camdenhells-davidgalindo,hotshots-sharad,dropbears-mary,hotshots-martin,hotshots-harrison,hotshots-weronika
20191031-1845-hotshots-camdenhells,hotshots,0,33,f14ea7bf-ec4e-4def-b1cb-3a81878c6d2b,PlayerControl,hotshots-harrison,hotshots-harrison,TwoPointShotMissed,TwoPointShotMade,False,hotshots-harrison,2,2,0,False,0,1,0,2,0,0,hotshots-sharad,dropbears-mary,hotshots-martin,hotshots-harrison,hotshots-weronika,lions-alfie,lostangels-sophie,camdenhells-jess,lostangels-rob,camdenhells-davidgalindo
20191031-1845-hotshots-camdenhells,camdenhells,1,34,89682fdb-aba7-4a1b-819a-3e7d0289003c,ThrowIn,lostangels-sophie,camdenhells-sean,TwoPointShotMade,TwoPointShotMade,False,lostangels-rob,2,0,2,False,4,4,1,2,1,0,lostangels-sophie,camdenhells-jess,lostangels-rob,camdenhells-davidgalindo,camdenhells-sean,hotshots-sharad,dropbears-mary,hotshots-harrison,hotshots-weronika,
20191031-1845-hotshots-camdenhells,hotshots,0,35,9e6bb2bf-f436-45d8-ac9b-6c9994934aab,ThrowIn,hotshots-sharad,hotshots-harrison,TwoPointShotMade,ThreePointShotMissed,False,hotshots-harrison,0,0,0,False,1,1,0,1,1,0,hotshots-sharad,hotshots-harrison,hotshots-weronika,hotshots-marine,,lostangels-sophie,camdenhells-jess,lostangels-rob,camdenhells-davidgalindo,camdenhells-sean
