season_id,game_id,side_id,team_id,opp_team_id,poss,opp_poss,pts,opp_pts,passes,opp_passes,dribbles,opp_dribbles,second_chance_pts,opp_second_chance_pts,pts_off_tov,opp_pts_off_tov,oreb,opp_oreb,true_fga,opp_true_fga,true_threepta,opp_true_threepta,fta,opp_fta,players_involved,opp_players_involved,poss_with_tfga,opp_poss_with_tfga,avg_passes,avg_passes_with_tfga,avg_players_involved,avg_players_involved_with_tfga,opp_avg_passes,opp_avg_passes_tfga,opp_avg_players_involved,opp_avg_players_involved_with_tfga,avg_pts_with_1p,avg_pts_with_2p,avg_pts_with_3p,avg_pts_with_4p,avg_pts_with_5p
25,20191107-1845-lions-camdenhells,1,camdenhells,lions,60,59,34,31,191,132,112,107,9,3,12,10,16,4,61,46,4,19,20,3,197,156,46,43,3.183333333333333,3.5217391304347827,3.283333333333333,3.5217391304347827,2.23728813559322,2.5348837209302326,2.6440677966101696,2.7906976744186047,0.6666666666666666,0.7096774193548387,0.8,0.7777777777777778,0.8888888888888888
25,20191107-1930-hotshots-greenmachine,0,hotshots,greenmachine,57,57,35,34,91,108,95,92,9,8,8,23,12,13,47,55,6,9,6,20,130,149,37,42,1.5964912280701755,1.5945945945945945,2.280701754385965,2.2972972972972974,1.894736842105263,2.1666666666666665,2.6140350877192984,2.857142857142857,1.0384615384615385,1.0869565217391304,1.25,1.0,2.0
25,20191107-1930-hotshots-greenmachine,1,greenmachine,hotshots,57,57,34,35,108,91,92,95,8,9,23,8,13,12,55,47,9,6,20,6,149,130,42,37,1.894736842105263,2.1666666666666665,2.6140350877192984,2.857142857142857,1.5964912280701755,1.5945945945945945,2.280701754385965,2.2972972972972974,0.4583333333333333,0.43478260869565216,0.5294117647058824,0.4,0.0
25,20191107-2015-northlondonlions-rockets,0,northlondonlions,rockets,50,50,33,39,58,98,82,99,12,4,3,13,20,11,53,48,11,6,23,21,109,129,36,39,1.16,1.2777777777777777,2.18,2.3333333333333335,1.96,2.051282051282051,2.58,2.58974358974359,0.9666666666666667,1.0,0.8888888888888888,0.8,0.0
25,20191107-2015-northlondonlions-rockets,1,rockets,northlondonlions,50,50,39,33,98,58,99,82,4,12,13,3,11,20,48,53,6,11,21,23,129,109,39,36,1.96,2.051282051282051,2.58,2.58974358974359,1.16,1.2777777777777777,2.18,2.3333333333333335,0.9629629629629629,0.9545454545454546,1.2857142857142858,1.5,1.0
25,20191107-2100-lostangels-burritos,0,lostangels,burritos,63,62,36,40,228,148,110,123,2,6,12,16,10,9,45,58,13,16,2,16,205,169,37,51,3.619047619047619,4.081081081081081,3.253968253968254,3.4864864864864864,2.3870967741935485,2.4901960784313726,2.725806451612903,2.764705882352941,0.8275862068965517,0.8275862068965517,0.8461538461538461,0.6923076923076923,0.0
25,20191107-2100-lostangels-burritos,1,burritos,lostangels,62,63,40,36,148,228,123,110,6,2,16,12,9,10,58,45,16,13,16,2,169,205,51,37,2.3870967741935485,2.4901960784313726,2.725806451612903,2.764705882352941,3.619047619047619,4.081081081081081,3.253968253968254,3.4864864864864864,0.8571428571428571,0.8461538461538461,0.7333333333333333,1.0,nan
25,20191114-1845-lostangels-greenmachine,0,lostangels,greenmachine,66,65,60,17,206,165,79,124,2,2,30,4,9,12,59,53,8,10,4,2,202,178,51,41,3.121212121212121,3.588235294117647,3.0606060606060606,3.3333333333333335,2.5384615384615383,3.292682926829268,2.7384615384615385,3.1707317073170733,0.9090909090909091,0.875,0.84,0.8421052631578947,0.625
25,20191114-1845-lostangels-greenmachine,1,greenmachine,lostangels,65,66,17,60,165,206,124,79,2,2,4,30,12,9,53,59,10,8,2,4,178,202,41,51,2.5384615384615383,3.292682926829268,2.7384615384615385,3.1707317073170733,3.121212121212121,3.588235294117647,3.0606060606060606,3.3333333333333335,0.41935483870967744,0.41935483870967744,0.3333333333333333,0.0,0.0
25,20191114-1930-hotshots-lions,0,hotshots,lions,66,66,61,28,85,111,97,105,16,5,6,5,14,9,64,67,4,8,18,10,139,166,51,58,1.2878787878787878,1.4901960784313726,2.106060606060606,2.2745098039215685,1.6818181818181819,1.8103448275862069,2.515151515151515,2.6206896551724137,1.2222222222222223,1.2285714285714286,1.411764705882353,1.7142857142857142,1.0
25,20191114-1930-hotshots-lions,1,lions,hotshots,66,66,28,61,111,85,105,97,5,16,5,6,9,14,67,64,8,4,10,18,166,139,58,51,1.6818181818181819,1.8103448275862069,2.515151515151515,2.6206896551724137,1.2878787878787878,1.4901960784313726,2.106060606060606,2.2745098039215685,0.5,0.4883720930232558,0.5416666666666666,0.8333333333333334,2.0
25,20191114-2015-northlondonlions-camdenhells,0,northlondonlions,camdenhells,55,54,32,46,46,150,80,104,5,12,9,12,13,16,56,59,12,5,14,10,99,154,44,46,0.8363636363636363,0.8636363636363636,1.8,1.8636363636363635,2.7777777777777777,2.9565217391304346,2.8518518518518516,2.9130434782608696,0.6571428571428571,0.5714285714285714,0.2857142857142857,0.0,nan
25,20191114-2015-northlondonlions-camdenhells,1,camdenhells,northlondonlions,54,55,46,32,150,46,104,80,12,5,12,9,16,13,59,56,5,12,10,14,154,99,46,44,2.7777777777777777,2.9565217391304346,2.8518518518518516,2.9130434782608696,0.8363636363636363,0.8636363636363636,1.8,1.8636363636363635,1.0,1.0,1.0,0.9230769230769231,1.0
25,20191114-2100-rockets-burritos,0,rockets,burritos,57,57,53,33,114,94,92,100,5,6,26,8,6,7,49,42,12,8,18,7,142,134,43,36,2.0,2.046511627906977,2.491228070175439,2.627906976744186,1.6491228070175439,1.6944444444444444,2.3508771929824563,2.4722222222222223,0.9642857142857143,0.9565217391304348,1.1333333333333333,0.8333333333333334,1.0
25,20191114-2100-rockets-burritos,1,burritos,rockets,57,57,33,53,94,114,100,92,6,5,8,26,7,6,42,49,8,12,7,18,134,142,36,43,1.6491228070175439,1.6944444444444444,2.3508771929824563,2.4722222222222223,2.0,2.046511627906977,2.491228070175439,2.627906976744186,0.8064516129032258,0.7619047619047619,0.9285714285714286,1.1666666666666667,2.0
25,20191017-1845-hotshots-rockets,0,rockets,hotshots,51,52,70,22,120,70,70,64,19,0,21,0,23,5,71,38,9,6,13,15,148,112,49,34,2.3529411764705883,2.4285714285714284,2.9019607843137254,2.9591836734693877,1.3461538461538463,1.7058823529411764,2.1538461538461537,2.4411764705882355,1.5806451612903225,1.5517241379310345,1.65,2.2,2.25
25,20191017-1845-hotshots-rockets,1,hotshots,rockets,52,51,22,70,70,120,64,70,0,19,0,21,5,23,38,71,6,9,15,13,112,148,34,49,1.3461538461538463,1.7058823529411764,2.1538461538461537,2.4411764705882355,2.3529411764705883,2.4285714285714284,2.9019607843137254,2.9591836734693877,0.6666666666666666,0.5416666666666666,0.45454545454545453,0.8333333333333334,0.0
