id,game_id,team_id,player_id,type,utc_time,period_number,period_seconds,allows_annotation,is_main,sequence_number,parent_id,comment
d8f8a8e8-5e46-4b57-99c9-06893915773d,20190926-1930-camdenhells-bbcballers,bbcballers,bbcballers-arthur,ShootingFoul,2019-09-29 11:18:12.848156,,,,1,318,41f16786-9280-4ba8-b37e-e3c09a32d16e,
d913aade-86ca-4a52-b4da-08fd62790608,20190926-1930-camdenhells-bbcballers,bbcballers,bbcballers-lisa,Turnover,2019-09-29 10:59:14.937589,,,,1,191,cecb4657-7002-4834-a5e5-0096e8239809,
d9197873-364a-43ae-92bb-986e31440236,20190919-2100-lions-greenmachine,greenmachine,greenmachine-iestyn,AutoSubstitutionOn,2019-09-29 12:58:32.122557,,,,,10,019b1e6c-134c-4d6c-be90-f0e129e8cbb2,
d9220161-42c9-4706-8e6c-4cd52697d4e6,20190926-2100-lostangels-lions,lostangels,lostangels-daria,AutoSubstitutionOn,2019-09-28 20:27:53.012392,,,,,370,06d513c1-5ccd-44b5-bf00-328afd7abdd8,
d96722d2-8e06-455f-b720-6f642d9acabf,20190926-1930-camdenhells-bbcballers,bbcballers,bbcballers-arthur,TwoPointShotMade,2019-09-29 10:59:55.123367,,,,1,200,b962072e-f6c5-4060-b866-1a184246d1a3,25 - 9
d9935c06-abce-464e-9d33-6d90432f63a7,20190926-2015-burritos-dropbears,burritos,burritos-sylwia,TwoPointShotMade,2019-09-28 14:11:04.548082,,,,1,175,c3f409b5-c030-4cf5-86ab-8e4791f2b64e,23 - 19
d99c48d1-e15b-4f5b-ab45-a1a60ab3c505,20190926-2100-lostangels-lions,lions,lions-gus,Turnover,2019-09-28 20:01:54.990607,,,,1,268,a17e05fc-555d-411d-a7bd-634bf4e374af,
d9b1e435-1b55-4fb0-ad64-ba8103025cdf,20190926-2100-lostangels-lions,lions,lions-telle,Turnover,2019-09-28 20:25:25.898135,,,,1,364,43822296-fedb-4052-b82d-1a039cc13e2b,
d9fcae86-4e45-403a-880d-65aa0b5fc8d2,20190926-1930-camdenhells-bbcballers,camdenhells,rockets-malachi,DefensiveRebound,2019-09-29 10:44:17.515096,,,,1,114,b0e999b9-d64f-489f-a8b0-33b75219769b,
da0b5510-dfff-43db-b187-677e40f26df8,20190926-1845-rockets-greenmachine,greenmachine,greenmachine-david,AutoSubstitutionOn,2019-09-28 21:57:56.033918,,,,,50,8edc3f2b-0a6f-471c-bf44-baf55d03ff77,
da30a7ff-3c20-4456-bf44-cb448ae018a9,20190919-1845-burritos-bbcballers,burritos,burritos-allen,OffensiveRebound,2019-09-29 12:19:57.589045,,,,1,91,b024b6e5-49b6-44dd-ba0f-360437bcfd27,
da34fa1e-ae2b-4e2e-96e6-5e96fff8d5de,20190919-2100-lions-greenmachine,lions,lions-telle,FreeThrowMade,2019-09-29 13:26:52.424667,,,,1,243,13d9d9f1-0496-432f-9e37-91da4d9c60fe,27 - 19
da44eb93-12a0-4c42-998b-4098ca3c07e0,20190919-1845-burritos-bbcballers,burritos,burritos-tom,ThreePointShotMissed,2019-09-29 12:30:10.089202,,,,1,163,e6d01422-c31b-4f99-8523-032158d6493a,
da51cd39-4341-4cdb-b2f1-28a65eae08d4,20190926-2100-lostangels-lions,lions,lions-foley,FreeThrowMade,2019-09-28 19:37:56.090546,,,,1,145,5ffb57d1-0b18-4e1a-ba46-6114f5029837,21 - 10
