id,game_id,player_id,player_order,side_id
20191003-2015-camdenhells-greenmachine-0-camdenhells-levent,20191003-2015-camdenhells-greenmachine,camdenhells-levent,0,0
20191003-2015-camdenhells-greenmachine-0-camdenhells-sean,20191003-2015-camdenhells-greenmachine,camdenhells-sean,0,0
20191003-2015-camdenhells-greenmachine-0-lostangels-sophie,20191003-2015-camdenhells-greenmachine,lostangels-sophie,0,0
20191003-2015-camdenhells-greenmachine-0-rockets-anna,20191003-2015-camdenhells-greenmachine,rockets-anna,0,0
20191003-2015-camdenhells-greenmachine-0-rockets-malachi,20191003-2015-camdenhells-greenmachine,rockets-malachi,0,0
20191003-2015-camdenhells-greenmachine-1-greenmachine-ahmed,20191003-2015-camdenhells-greenmachine,greenmachine-ahmed,0,1
20191003-2015-camdenhells-greenmachine-1-greenmachine-alex,20191003-2015-camdenhells-greenmachine,greenmachine-alex,0,1
20191003-2015-camdenhells-greenmachine-1-greenmachine-allison,20191003-2015-camdenhells-greenmachine,greenmachine-allison,0,1
20191003-2015-camdenhells-greenmachine-1-greenmachine-andris,20191003-2015-camdenhells-greenmachine,greenmachine-andris,0,1
20191003-2015-camdenhells-greenmachine-1-greenmachine-david,20191003-2015-camdenhells-greenmachine,greenmachine-david,0,1
20191003-2015-camdenhells-greenmachine-1-greenmachine-iestyn,20191003-2015-camdenhells-greenmachine,greenmachine-iestyn,0,1
20191003-2015-camdenhells-greenmachine-1-greenmachine-itai,20191003-2015-camdenhells-greenmachine,greenmachine-itai,0,1
20191003-2015-camdenhells-greenmachine-1-greenmachine-kelli,20191003-2015-camdenhells-greenmachine,greenmachine-kelli,0,1
20191003-2015-camdenhells-greenmachine-1-greenmachine-marina,20191003-2015-camdenhells-greenmachine,greenmachine-marina,0,1
20191003-2015-camdenhells-greenmachine-1-greenmachine-sergio,20191003-2015-camdenhells-greenmachine,greenmachine-sergio,0,1
20191003-2015-camdenhells-greenmachine-1-greenmachine-victoria,20191003-2015-camdenhells-greenmachine,greenmachine-victoria,0,1
20191003-2100-lions-bbcballers-0-lions-chris,20191003-2100-lions-bbcballers,lions-chris,0,0
20191003-2100-lions-bbcballers-0-lions-diego,20191003-2100-lions-bbcballers,lions-diego,0,0
20191003-2100-lions-bbcballers-0-lions-foley,20191003-2100-lions-bbcballers,lions-foley,0,0
20191003-2100-lions-bbcballers-0-lions-gus,20191003-2100-lions-bbcballers,lions-gus,0,0
20191003-2100-lions-bbcballers-0-lions-kata,20191003-2100-lions-bbcballers,lions-kata,0,0
20191003-2100-lions-bbcballers-0-lions-mychelle,20191003-2100-lions-bbcballers,lions-mychelle,0,0
20191003-2100-lions-bbcballers-0-lions-obi,20191003-2100-lions-bbcballers,lions-obi,0,0
20191003-2100-lions-bbcballers-0-lions-saulius,20191003-2100-lions-bbcballers,lions-saulius,0,0
20191003-2100-lions-bbcballers-0-lions-telle,20191003-2100-lions-bbcballers,lions-telle,0,0
20191003-2100-lions-bbcballers-1-bbcballers-alexandra,20191003-2100-lions-bbcballers,bbcballers-alexandra,0,1
20191003-2100-lions-bbcballers-1-bbcballers-arthur,20191003-2100-lions-bbcballers,bbcballers-arthur,0,1
20191003-2100-lions-bbcballers-1-bbcballers-james,20191003-2100-lions-bbcballers,bbcballers-james,0,1
20191003-2100-lions-bbcballers-1-bbcballers-lisa,20191003-2100-lions-bbcballers,bbcballers-lisa,0,1
20191003-2100-lions-bbcballers-1-bbcballers-nathan,20191003-2100-lions-bbcballers,bbcballers-nathan,0,1
20191003-2100-lions-bbcballers-1-bbcballers-saulius,20191003-2100-lions-bbcballers,bbcballers-saulius,0,1
20191003-2100-lions-bbcballers-1-bbcballers-suhail,20191003-2100-lions-bbcballers,bbcballers-suhail,0,1
